all_riders,rider_class,stage,points,stage_class
Aleksandr Vlasov,All Rounder,X14,22,Mount
Aleksandr Vlasov,All Rounder,X15,114,Hills
Aleksandr Vlasov,All Rounder,X16,4,Mount
Aleksandr Vlasov,All Rounder,X17,8,Flat
Aleksandr Vlasov,All Rounder,X18,4,Mount
Aleksandr Vlasov,All Rounder,X19,4,Mount
Aleksandr Vlasov,All Rounder,X20,4,Hills
Aleksandr Vlasov,All Rounder,X21,4,Flat
Dylan Groenewegen,Sprinter,X1,0,Flat
Dylan Groenewegen,Sprinter,X2,0,Hills
Dylan Groenewegen,Sprinter,X3,35,Flat
Dylan Groenewegen,Sprinter,X4,0,Hills
Dylan Groenewegen,Sprinter,X6,0,Hills
Dylan Groenewegen,Sprinter,X7,0,Hills
Dylan Groenewegen,Sprinter,X8,20,Flat
Dylan Groenewegen,Sprinter,X9,25,Flat
Dylan Groenewegen,Sprinter,X10,0,Hills
Dylan Groenewegen,Sprinter,X11,4,Hills
Dylan Groenewegen,Sprinter,X12,0,Mount
Dylan Groenewegen,Sprinter,X14,0,Mount
Dylan Groenewegen,Sprinter,X15,0,Hills
Dylan Groenewegen,Sprinter,X16,0,Mount
Dylan Groenewegen,Sprinter,X17,30,Flat
Dylan Groenewegen,Sprinter,X18,8,Mount
Dylan Groenewegen,Sprinter,X19,0,Mount
Dylan Groenewegen,Sprinter,X20,0,Hills
Dylan Groenewegen,Sprinter,X21,0,Flat
Ben O'Connor,Climber,X1,0,Flat
Ben O'Connor,Climber,X2,11,Hills
Ben O'Connor,Climber,X3,12,Flat
Ben O'Connor,Climber,X4,0,Hills
Ben O'Connor,Climber,X6,0,Hills
Ben O'Connor,Climber,X7,3,Hills
Ben O'Connor,Climber,X8,1,Flat
Ben O'Connor,Climber,X9,0,Flat
Ben O'Connor,Climber,X10,163,Hills
Ben O'Connor,Climber,X11,8,Hills
Ben O'Connor,Climber,X12,24,Mount
Ben O'Connor,Climber,X14,29,Mount
Ben O'Connor,Climber,X15,9,Hills
Ben O'Connor,Climber,X16,9,Mount
Ben O'Connor,Climber,X17,9,Flat
Ben O'Connor,Climber,X18,269,Mount
Ben O'Connor,Climber,X19,53,Mount
Ben O'Connor,Climber,X20,12,Hills
Ben O'Connor,Climber,X21,12,Flat
Oscar Onley,Climber,X1,0,Flat
Oscar Onley,Climber,X2,115,Hills
Oscar Onley,Climber,X3,8,Flat
Oscar Onley,Climber,X4,154,Hills
Oscar Onley,Climber,X6,45,Hills
Oscar Onley,Climber,X7,174,Hills
Oscar Onley,Climber,X8,14,Flat
Oscar Onley,Climber,X9,14,Flat
Oscar Onley,Climber,X10,44,Hills
Oscar Onley,Climber,X11,14,Hills
Oscar Onley,Climber,X12,145,Mount
Oscar Onley,Climber,X14,134,Mount
Oscar Onley,Climber,X15,18,Hills
Oscar Onley,Climber,X16,48,Mount
Oscar Onley,Climber,X17,20,Flat
Oscar Onley,Climber,X18,173,Mount
Oscar Onley,Climber,X19,148,Mount
Oscar Onley,Climber,X20,22,Hills
Oscar Onley,Climber,X21,18,Flat
Sepp Kuss,Climber,X1,0,Flat
Sepp Kuss,Climber,X2,8,Hills
Sepp Kuss,Climber,X3,6,Flat
Sepp Kuss,Climber,X4,12,Hills
Sepp Kuss,Climber,X6,8,Hills
Sepp Kuss,Climber,X7,12,Hills
Sepp Kuss,Climber,X8,12,Flat
Sepp Kuss,Climber,X9,8,Flat
Sepp Kuss,Climber,X10,16,Hills
Sepp Kuss,Climber,X11,8,Hills
Sepp Kuss,Climber,X12,16,Mount
Sepp Kuss,Climber,X14,25,Mount
Sepp Kuss,Climber,X15,20,Hills
Sepp Kuss,Climber,X16,18,Mount
Sepp Kuss,Climber,X17,18,Flat
Sepp Kuss,Climber,X18,83,Mount
Sepp Kuss,Climber,X19,23,Mount
Sepp Kuss,Climber,X20,16,Hills
Sepp Kuss,Climber,X21,24,Flat
Xandro Meurisse,Unclassed,X1,18,Flat
Xandro Meurisse,Unclassed,X2,18,Hills
Xandro Meurisse,Unclassed,X3,10,Flat
Xandro Meurisse,Unclassed,X4,12,Hills
Xandro Meurisse,Unclassed,X6,8,Hills
Xandro Meurisse,Unclassed,X7,12,Hills
Xandro Meurisse,Unclassed,X8,2,Flat
Xandro Meurisse,Unclassed,X9,0,Flat
Xandro Meurisse,Unclassed,X10,0,Hills
Xandro Meurisse,Unclassed,X11,2,Hills
Xandro Meurisse,Unclassed,X12,0,Mount
Xandro Meurisse,Unclassed,X14,0,Mount
Xandro Meurisse,Unclassed,X15,0,Hills
Xandro Meurisse,Unclassed,X16,35,Mount
Xandro Meurisse,Unclassed,X17,0,Flat
Xandro Meurisse,Unclassed,X18,0,Mount
Xandro Meurisse,Unclassed,X19,0,Mount
Xandro Meurisse,Unclassed,X20,20,Hills
Xandro Meurisse,Unclassed,X21,0,Flat
Gianni Vermeersch,Unclassed,X1,18,Flat
Gianni Vermeersch,Unclassed,X2,18,Hills
Gianni Vermeersch,Unclassed,X3,10,Flat
Gianni Vermeersch,Unclassed,X4,12,Hills
Gianni Vermeersch,Unclassed,X6,8,Hills
Gianni Vermeersch,Unclassed,X7,0,Hills
Gianni Vermeersch,Unclassed,X8,2,Flat
Gianni Vermeersch,Unclassed,X9,0,Flat
Gianni Vermeersch,Unclassed,X10,0,Hills
Gianni Vermeersch,Unclassed,X11,2,Hills
Gianni Vermeersch,Unclassed,X12,0,Mount
Gianni Vermeersch,Unclassed,X14,0,Mount
Gianni Vermeersch,Unclassed,X15,0,Hills
Gianni Vermeersch,Unclassed,X16,0,Mount
Gianni Vermeersch,Unclassed,X17,0,Flat
Gianni Vermeersch,Unclassed,X18,0,Mount
Gianni Vermeersch,Unclassed,X19,0,Mount
Gianni Vermeersch,Unclassed,X20,8,Hills
Gianni Vermeersch,Unclassed,X21,0,Flat
Emiel Verstrynge,Unclassed,X1,18,Flat
Emiel Verstrynge,Unclassed,X2,18,Hills
Emiel Verstrynge,Unclassed,X3,10,Flat
Emiel Verstrynge,Unclassed,X4,12,Hills
Emiel Verstrynge,Unclassed,X6,8,Hills
Emiel Verstrynge,Unclassed,X7,0,Hills
Emiel Verstrynge,Unclassed,X8,2,Flat
Emiel Verstrynge,Unclassed,X9,0,Flat
Emiel Verstrynge,Unclassed,X10,0,Hills
Emiel Verstrynge,Unclassed,X11,2,Hills
Emiel Verstrynge,Unclassed,X12,0,Mount
Emiel Verstrynge,Unclassed,X14,0,Mount
Emiel Verstrynge,Unclassed,X15,0,Hills
Emiel Verstrynge,Unclassed,X16,0,Mount
Emiel Verstrynge,Unclassed,X17,0,Flat
Emiel Verstrynge,Unclassed,X18,0,Mount
Emiel Verstrynge,Unclassed,X19,0,Mount
Emiel Verstrynge,Unclassed,X20,8,Hills
Emiel Verstrynge,Unclassed,X21,0,Flat
Amaury Capiot,Unclassed,X1,0,Flat
Amaury Capiot,Unclassed,X2,0,Hills
Amaury Capiot,Unclassed,X3,70,Flat
Amaury Capiot,Unclassed,X4,0,Hills
Amaury Capiot,Unclassed,X6,0,Hills
Amaury Capiot,Unclassed,X7,2,Hills
Amaury Capiot,Unclassed,X8,2,Flat
Amaury Capiot,Unclassed,X9,2,Flat
Amaury Capiot,Unclassed,X10,0,Hills
Amaury Capiot,Unclassed,X11,0,Hills
Amaury Capiot,Unclassed,X12,2,Mount
Amaury Capiot,Unclassed,X14,0,Mount
Amaury Capiot,Unclassed,X15,0,Hills
Amaury Capiot,Unclassed,X16,0,Mount
Amaury Capiot,Unclassed,X17,0,Flat
Amaury Capiot,Unclassed,X18,0,Mount
Amaury Capiot,Unclassed,X19,0,Mount
Amaury Capiot,Unclassed,X20,0,Hills
Amaury Capiot,Unclassed,X21,0,Flat
Ewen Costiou,Unclassed,X1,0,Flat
Ewen Costiou,Unclassed,X2,0,Hills
Ewen Costiou,Unclassed,X3,0,Flat
Ewen Costiou,Unclassed,X4,0,Hills
Ewen Costiou,Unclassed,X6,0,Hills
Ewen Costiou,Unclassed,X7,30,Hills
Ewen Costiou,Unclassed,X8,4,Flat
Ewen Costiou,Unclassed,X9,4,Flat
Ewen Costiou,Unclassed,X10,0,Hills
Ewen Costiou,Unclassed,X11,0,Hills
Ewen Costiou,Unclassed,X12,2,Mount
Ewen Costiou,Unclassed,X14,5,Mount
Ewen Costiou,Unclassed,X15,0,Hills
Ewen Costiou,Unclassed,X16,0,Mount
Ewen Costiou,Unclassed,X17,0,Flat
Ewen Costiou,Unclassed,X18,0,Mount
Ewen Costiou,Unclassed,X19,0,Mount
Ewen Costiou,Unclassed,X20,60,Hills
Ewen Costiou,Unclassed,X21,0,Flat
Arnaud Démare,Sprinter,X1,0,Flat
Arnaud Démare,Sprinter,X2,0,Hills
Arnaud Démare,Sprinter,X3,0,Flat
Arnaud Démare,Sprinter,X4,0,Hills
Arnaud Démare,Sprinter,X6,0,Hills
Arnaud Démare,Sprinter,X7,2,Hills
Arnaud Démare,Sprinter,X8,6,Flat
Arnaud Démare,Sprinter,X9,37,Flat
Arnaud Démare,Sprinter,X10,0,Hills
Arnaud Démare,Sprinter,X11,0,Hills
Arnaud Démare,Sprinter,X12,2,Mount
Arnaud Démare,Sprinter,X14,0,Mount
Arnaud Démare,Sprinter,X15,0,Hills
Arnaud Démare,Sprinter,X16,0,Mount
Arnaud Démare,Sprinter,X17,0,Flat
Arnaud Démare,Sprinter,X18,0,Mount
Arnaud Démare,Sprinter,X19,0,Mount
Arnaud Démare,Sprinter,X20,0,Hills
Arnaud Démare,Sprinter,X21,0,Flat
Raúl García Pierna,Unclassed,X1,0,Flat
Raúl García Pierna,Unclassed,X2,0,Hills
Raúl García Pierna,Unclassed,X3,0,Flat
Raúl García Pierna,Unclassed,X4,0,Hills
Raúl García Pierna,Unclassed,X6,0,Hills
Raúl García Pierna,Unclassed,X7,2,Hills
Raúl García Pierna,Unclassed,X8,2,Flat
Raúl García Pierna,Unclassed,X9,2,Flat
Raúl García Pierna,Unclassed,X10,20,Hills
Raúl García Pierna,Unclassed,X11,0,Hills
Raúl García Pierna,Unclassed,X12,42,Mount
Raúl García Pierna,Unclassed,X14,0,Mount
Raúl García Pierna,Unclassed,X15,0,Hills
Raúl García Pierna,Unclassed,X16,8,Mount
Raúl García Pierna,Unclassed,X17,0,Flat
Raúl García Pierna,Unclassed,X18,0,Mount
Raúl García Pierna,Unclassed,X19,0,Mount
Raúl García Pierna,Unclassed,X20,0,Hills
Raúl García Pierna,Unclassed,X21,0,Flat
Cristián Rodríguez,Unclassed,X1,0,Flat
Cristián Rodríguez,Unclassed,X2,0,Hills
Cristián Rodríguez,Unclassed,X3,0,Flat
Cristián Rodríguez,Unclassed,X4,0,Hills
Cristián Rodríguez,Unclassed,X6,0,Hills
Cristián Rodríguez,Unclassed,X7,18,Hills
Cristián Rodríguez,Unclassed,X8,2,Flat
Cristián Rodríguez,Unclassed,X9,2,Flat
Cristián Rodríguez,Unclassed,X10,0,Hills
Cristián Rodríguez,Unclassed,X11,0,Hills
Cristián Rodríguez,Unclassed,X12,64,Mount
Cristián Rodríguez,Unclassed,X14,3,Mount
Cristián Rodríguez,Unclassed,X15,3,Hills
Cristián Rodríguez,Unclassed,X16,4,Mount
Cristián Rodríguez,Unclassed,X17,4,Flat
Cristián Rodríguez,Unclassed,X18,0,Mount
Cristián Rodríguez,Unclassed,X19,0,Mount
Cristián Rodríguez,Unclassed,X20,1,Hills
Cristián Rodríguez,Unclassed,X21,1,Flat
Kévin Vauquelin,All Rounder,X1,25,Flat
Kévin Vauquelin,All Rounder,X2,100,Hills
Kévin Vauquelin,All Rounder,X3,20,Flat
Kévin Vauquelin,All Rounder,X4,77,Hills
Kévin Vauquelin,All Rounder,X6,48,Hills
Kévin Vauquelin,All Rounder,X7,117,Hills
Kévin Vauquelin,All Rounder,X8,22,Flat
Kévin Vauquelin,All Rounder,X9,22,Flat
Kévin Vauquelin,All Rounder,X10,15,Hills
Kévin Vauquelin,All Rounder,X11,15,Hills
Kévin Vauquelin,All Rounder,X12,134,Mount
Kévin Vauquelin,All Rounder,X14,76,Mount
Kévin Vauquelin,All Rounder,X15,16,Hills
Kévin Vauquelin,All Rounder,X16,19,Mount
Kévin Vauquelin,All Rounder,X17,15,Flat
Kévin Vauquelin,All Rounder,X18,54,Mount
Kévin Vauquelin,All Rounder,X19,30,Mount
Kévin Vauquelin,All Rounder,X20,14,Hills
Kévin Vauquelin,All Rounder,X21,94,Flat
Clément Venturini,Unclassed,X1,0,Flat
Clément Venturini,Unclassed,X2,0,Hills
Clément Venturini,Unclassed,X3,0,Flat
Clément Venturini,Unclassed,X4,0,Hills
Clément Venturini,Unclassed,X6,0,Hills
Clément Venturini,Unclassed,X7,2,Hills
Clément Venturini,Unclassed,X8,2,Flat
Clément Venturini,Unclassed,X9,2,Flat
Clément Venturini,Unclassed,X10,0,Hills
Clément Venturini,Unclassed,X11,0,Hills
Clément Venturini,Unclassed,X12,2,Mount
Clément Venturini,Unclassed,X14,0,Mount
Clément Venturini,Unclassed,X15,0,Hills
Clément Venturini,Unclassed,X16,0,Mount
Clément Venturini,Unclassed,X17,12,Flat
Clément Venturini,Unclassed,X18,0,Mount
Clément Venturini,Unclassed,X19,0,Mount
Clément Venturini,Unclassed,X20,0,Hills
Clément Venturini,Unclassed,X21,0,Flat
Phil Bauhaus,Sprinter,X1,0,Flat
Phil Bauhaus,Sprinter,X2,0,Hills
Phil Bauhaus,Sprinter,X3,160,Flat
Phil Bauhaus,Sprinter,X4,0,Hills
Phil Bauhaus,Sprinter,X6,0,Hills
Phil Bauhaus,Sprinter,X7,0,Hills
Phil Bauhaus,Sprinter,X8,40,Flat
Phil Bauhaus,Sprinter,X9,95,Flat
Phil Bauhaus,Sprinter,X10,0,Hills
Phil Bauhaus,Sprinter,X11,0,Hills
Phil Bauhaus,Sprinter,X12,0,Mount
Phil Bauhaus,Sprinter,X14,0,Mount
Phil Bauhaus,Sprinter,X15,0,Hills
Phil Bauhaus,Sprinter,X16,2,Mount
Phil Bauhaus,Sprinter,X17,40,Flat
Phil Bauhaus,Sprinter,X18,0,Mount
Phil Bauhaus,Sprinter,X19,0,Mount
Phil Bauhaus,Sprinter,X20,0,Hills
Phil Bauhaus,Sprinter,X21,2,Flat
Jack Haig,Unclassed,X1,0,Flat
Jack Haig,Unclassed,X2,0,Hills
Jack Haig,Unclassed,X3,2,Flat
Jack Haig,Unclassed,X4,0,Hills
Jack Haig,Unclassed,X6,1,Hills
Jack Haig,Unclassed,X7,0,Hills
Jack Haig,Unclassed,X8,0,Flat
Jack Haig,Unclassed,X9,0,Flat
Jack Haig,Unclassed,X10,0,Hills
Jack Haig,Unclassed,X11,0,Hills
Jack Haig,Unclassed,X12,0,Mount
Jack Haig,Unclassed,X14,0,Mount
Jack Haig,Unclassed,X15,0,Hills
Jack Haig,Unclassed,X16,0,Mount
Jack Haig,Unclassed,X17,0,Flat
Jack Haig,Unclassed,X18,0,Mount
Jack Haig,Unclassed,X19,0,Mount
Jack Haig,Unclassed,X20,0,Hills
Jack Haig,Unclassed,X21,0,Flat
Matej Mohorič,Unclassed,X1,0,Flat
Matej Mohorič,Unclassed,X2,0,Hills
Matej Mohorič,Unclassed,X3,2,Flat
Matej Mohorič,Unclassed,X4,0,Hills
Matej Mohorič,Unclassed,X6,0,Hills
Matej Mohorič,Unclassed,X7,0,Hills
Matej Mohorič,Unclassed,X8,0,Flat
Matej Mohorič,Unclassed,X9,0,Flat
Matej Mohorič,Unclassed,X10,0,Hills
Matej Mohorič,Unclassed,X11,0,Hills
Matej Mohorič,Unclassed,X12,0,Mount
Matej Mohorič,Unclassed,X14,0,Mount
Matej Mohorič,Unclassed,X15,26,Hills
Matej Mohorič,Unclassed,X16,2,Mount
Matej Mohorič,Unclassed,X17,0,Flat
Matej Mohorič,Unclassed,X18,0,Mount
Matej Mohorič,Unclassed,X19,0,Mount
Matej Mohorič,Unclassed,X20,0,Hills
Matej Mohorič,Unclassed,X21,160,Flat
Fred Wright,Unclassed,X1,0,Flat
Fred Wright,Unclassed,X2,0,Hills
Fred Wright,Unclassed,X3,2,Flat
Fred Wright,Unclassed,X4,0,Hills
Fred Wright,Unclassed,X6,0,Hills
Fred Wright,Unclassed,X7,0,Hills
Fred Wright,Unclassed,X8,0,Flat
Fred Wright,Unclassed,X9,0,Flat
Fred Wright,Unclassed,X10,0,Hills
Fred Wright,Unclassed,X11,123,Hills
Fred Wright,Unclassed,X12,0,Mount
Fred Wright,Unclassed,X14,0,Mount
Fred Wright,Unclassed,X15,0,Hills
Fred Wright,Unclassed,X16,6,Mount
Fred Wright,Unclassed,X17,0,Flat
Fred Wright,Unclassed,X18,0,Mount
Fred Wright,Unclassed,X19,0,Mount
Fred Wright,Unclassed,X20,0,Hills
Fred Wright,Unclassed,X21,2,Flat
Alex Aranburu,Sprinter,X1,0,Flat
Alex Aranburu,Sprinter,X2,0,Hills
Alex Aranburu,Sprinter,X3,0,Flat
Alex Aranburu,Sprinter,X4,0,Hills
Alex Aranburu,Sprinter,X6,0,Hills
Alex Aranburu,Sprinter,X7,0,Hills
Alex Aranburu,Sprinter,X8,0,Flat
Alex Aranburu,Sprinter,X9,0,Flat
Alex Aranburu,Sprinter,X10,0,Hills
Alex Aranburu,Sprinter,X11,8,Hills
Alex Aranburu,Sprinter,X12,0,Mount
Alex Aranburu,Sprinter,X14,0,Mount
Alex Aranburu,Sprinter,X15,0,Hills
Alex Aranburu,Sprinter,X16,20,Mount
Alex Aranburu,Sprinter,X17,0,Flat
Alex Aranburu,Sprinter,X18,0,Mount
Alex Aranburu,Sprinter,X19,0,Mount
Alex Aranburu,Sprinter,X20,0,Hills
Alex Aranburu,Sprinter,X21,30,Flat
Emanuel Buchmann,Unclassed,X1,0,Flat
Emanuel Buchmann,Unclassed,X2,11,Hills
Emanuel Buchmann,Unclassed,X3,11,Flat
Emanuel Buchmann,Unclassed,X4,0,Hills
Emanuel Buchmann,Unclassed,X6,0,Hills
Emanuel Buchmann,Unclassed,X7,0,Hills
Emanuel Buchmann,Unclassed,X8,0,Flat
Emanuel Buchmann,Unclassed,X9,1,Flat
Emanuel Buchmann,Unclassed,X10,1,Hills
Emanuel Buchmann,Unclassed,X11,1,Hills
Emanuel Buchmann,Unclassed,X12,1,Mount
Emanuel Buchmann,Unclassed,X14,0,Mount
Emanuel Buchmann,Unclassed,X15,0,Hills
Emanuel Buchmann,Unclassed,X16,0,Mount
Emanuel Buchmann,Unclassed,X17,0,Flat
Emanuel Buchmann,Unclassed,X18,1,Mount
Emanuel Buchmann,Unclassed,X19,0,Mount
Emanuel Buchmann,Unclassed,X20,0,Hills
Emanuel Buchmann,Unclassed,X21,0,Flat
Bryan Coquard,Sprinter,X1,16,Flat
Bryan Coquard,Sprinter,X2,1,Hills
Bryan Coquard,Sprinter,X3,0,Flat
Bryan Coquard,Sprinter,X4,0,Hills
Bryan Coquard,Sprinter,X6,0,Hills
Bryan Coquard,Sprinter,X7,0,Hills
Bryan Coquard,Sprinter,X8,100,Flat
Bryan Coquard,Sprinter,X9,3,Flat
Bryan Coquard,Sprinter,X10,0,Hills
Bryan Coquard,Sprinter,X11,0,Hills
Bryan Coquard,Sprinter,X12,0,Mount
Bryan Coquard,Sprinter,X14,0,Mount
Bryan Coquard,Sprinter,X15,0,Hills
Bryan Coquard,Sprinter,X16,0,Mount
Bryan Coquard,Sprinter,X17,0,Flat
Bryan Coquard,Sprinter,X18,0,Mount
Bryan Coquard,Sprinter,X19,0,Mount
Bryan Coquard,Sprinter,X20,0,Hills
Bryan Coquard,Sprinter,X21,0,Flat
Ion Izagirre,Unclassed,X1,0,Flat
Ion Izagirre,Unclassed,X2,0,Hills
Ion Izagirre,Unclassed,X3,0,Flat
Ion Izagirre,Unclassed,X4,0,Hills
Ion Izagirre,Unclassed,X6,0,Hills
Ion Izagirre,Unclassed,X7,0,Hills
Ion Izagirre,Unclassed,X8,0,Flat
Ion Izagirre,Unclassed,X9,0,Flat
Ion Izagirre,Unclassed,X10,0,Hills
Ion Izagirre,Unclassed,X11,0,Hills
Ion Izagirre,Unclassed,X12,0,Mount
Ion Izagirre,Unclassed,X14,0,Mount
Ion Izagirre,Unclassed,X15,0,Hills
Ion Izagirre,Unclassed,X16,0,Mount
Ion Izagirre,Unclassed,X17,0,Flat
Ion Izagirre,Unclassed,X18,0,Mount
Ion Izagirre,Unclassed,X19,0,Mount
Ion Izagirre,Unclassed,X20,0,Hills
Ion Izagirre,Unclassed,X21,0,Flat
Alexis Renard,Sprinter,X1,0,Flat
Alexis Renard,Sprinter,X2,0,Hills
Alexis Renard,Sprinter,X3,0,Flat
Alexis Renard,Sprinter,X4,0,Hills
Alexis Renard,Sprinter,X6,0,Hills
Alexis Renard,Sprinter,X7,0,Hills
Alexis Renard,Sprinter,X8,0,Flat
Alexis Renard,Sprinter,X9,50,Flat
Alexis Renard,Sprinter,X10,0,Hills
Alexis Renard,Sprinter,X11,0,Hills
Alexis Renard,Sprinter,X12,0,Mount
Alexis Renard,Sprinter,X14,0,Mount
Alexis Renard,Sprinter,X15,0,Hills
Alexis Renard,Sprinter,X16,0,Mount
Alexis Renard,Sprinter,X17,20,Flat
Alexis Renard,Sprinter,X18,0,Mount
Alexis Renard,Sprinter,X19,0,Mount
Alexis Renard,Sprinter,X20,0,Hills
Alexis Renard,Sprinter,X21,0,Flat
Dylan Teuns,Unclassed,X1,0,Flat
Dylan Teuns,Unclassed,X2,0,Hills
Dylan Teuns,Unclassed,X3,0,Flat
Dylan Teuns,Unclassed,X4,0,Hills
Dylan Teuns,Unclassed,X6,0,Hills
Dylan Teuns,Unclassed,X7,0,Hills
Dylan Teuns,Unclassed,X8,0,Flat
Dylan Teuns,Unclassed,X9,0,Flat
Dylan Teuns,Unclassed,X10,0,Hills
Dylan Teuns,Unclassed,X11,0,Hills
Dylan Teuns,Unclassed,X12,0,Mount
Dylan Teuns,Unclassed,X14,0,Mount
Dylan Teuns,Unclassed,X15,0,Hills
Dylan Teuns,Unclassed,X16,0,Mount
Dylan Teuns,Unclassed,X17,0,Flat
Dylan Teuns,Unclassed,X18,0,Mount
Dylan Teuns,Unclassed,X19,0,Mount
Dylan Teuns,Unclassed,X20,0,Hills
Dylan Teuns,Unclassed,X21,60,Flat
Benjamin Thomas,Unclassed,X1,32,Flat
Benjamin Thomas,Unclassed,X2,6,Hills
Benjamin Thomas,Unclassed,X3,6,Flat
Benjamin Thomas,Unclassed,X4,2,Hills
Benjamin Thomas,Unclassed,X6,0,Hills
Benjamin Thomas,Unclassed,X7,0,Hills
Benjamin Thomas,Unclassed,X8,0,Flat
Benjamin Thomas,Unclassed,X9,0,Flat
Benjamin Thomas,Unclassed,X10,0,Hills
Benjamin Thomas,Unclassed,X11,0,Hills
Benjamin Thomas,Unclassed,X12,0,Mount
Benjamin Thomas,Unclassed,X14,0,Mount
Benjamin Thomas,Unclassed,X15,0,Hills
Benjamin Thomas,Unclassed,X16,0,Mount
Benjamin Thomas,Unclassed,X17,0,Flat
Benjamin Thomas,Unclassed,X18,0,Mount
Benjamin Thomas,Unclassed,X19,0,Mount
Benjamin Thomas,Unclassed,X20,0,Hills
Benjamin Thomas,Unclassed,X21,0,Flat
Bruno Armirail,Unclassed,X1,0,Flat
Bruno Armirail,Unclassed,X2,28,Hills
Bruno Armirail,Unclassed,X3,0,Flat
Bruno Armirail,Unclassed,X4,0,Hills
Bruno Armirail,Unclassed,X6,0,Hills
Bruno Armirail,Unclassed,X7,0,Hills
Bruno Armirail,Unclassed,X8,0,Flat
Bruno Armirail,Unclassed,X9,0,Flat
Bruno Armirail,Unclassed,X10,18,Hills
Bruno Armirail,Unclassed,X11,0,Hills
Bruno Armirail,Unclassed,X12,23,Mount
Bruno Armirail,Unclassed,X14,2,Mount
Bruno Armirail,Unclassed,X15,0,Hills
Bruno Armirail,Unclassed,X16,0,Mount
Bruno Armirail,Unclassed,X17,0,Flat
Bruno Armirail,Unclassed,X18,10,Mount
Bruno Armirail,Unclassed,X19,4,Mount
Bruno Armirail,Unclassed,X20,0,Hills
Bruno Armirail,Unclassed,X21,0,Flat
Clément Berthet,Unclassed,X1,0,Flat
Clément Berthet,Unclassed,X2,0,Hills
Clément Berthet,Unclassed,X3,0,Flat
Clément Berthet,Unclassed,X4,0,Hills
Clément Berthet,Unclassed,X6,0,Hills
Clément Berthet,Unclassed,X7,0,Hills
Clément Berthet,Unclassed,X8,0,Flat
Clément Berthet,Unclassed,X9,0,Flat
Clément Berthet,Unclassed,X10,2,Hills
Clément Berthet,Unclassed,X11,0,Hills
Clément Berthet,Unclassed,X12,0,Mount
Clément Berthet,Unclassed,X14,2,Mount
Clément Berthet,Unclassed,X15,0,Hills
Clément Berthet,Unclassed,X16,0,Mount
Clément Berthet,Unclassed,X17,0,Flat
Clément Berthet,Unclassed,X18,0,Mount
Clément Berthet,Unclassed,X19,12,Mount
Clément Berthet,Unclassed,X20,0,Hills
Clément Berthet,Unclassed,X21,0,Flat
Stefan Bissegger,Unclassed,X1,0,Flat
Stefan Bissegger,Unclassed,X2,0,Hills
Stefan Bissegger,Unclassed,X3,0,Flat
Stefan Bissegger,Unclassed,X4,0,Hills
Stefan Bissegger,Unclassed,X6,0,Hills
Stefan Bissegger,Unclassed,X7,0,Hills
Stefan Bissegger,Unclassed,X8,0,Flat
Stefan Bissegger,Unclassed,X9,0,Flat
Stefan Bissegger,Unclassed,X10,0,Hills
Stefan Bissegger,Unclassed,X11,0,Hills
Stefan Bissegger,Unclassed,X12,0,Mount
Stefan Bissegger,Unclassed,X14,0,Mount
Stefan Bissegger,Unclassed,X15,0,Hills
Stefan Bissegger,Unclassed,X16,0,Mount
Stefan Bissegger,Unclassed,X17,0,Flat
Stefan Bissegger,Unclassed,X18,0,Mount
Stefan Bissegger,Unclassed,X19,0,Mount
Stefan Bissegger,Unclassed,X20,0,Hills
Stefan Bissegger,Unclassed,X21,0,Flat
Aurélien Paret-Peintre,Climber,X1,0,Flat
Aurélien Paret-Peintre,Climber,X2,104,Hills
Aurélien Paret-Peintre,Climber,X3,10,Flat
Aurélien Paret-Peintre,Climber,X4,49,Hills
Aurélien Paret-Peintre,Climber,X6,5,Hills
Aurélien Paret-Peintre,Climber,X7,4,Hills
Aurélien Paret-Peintre,Climber,X8,4,Flat
Aurélien Paret-Peintre,Climber,X9,4,Flat
Aurélien Paret-Peintre,Climber,X10,2,Hills
Aurélien Paret-Peintre,Climber,X11,0,Hills
Aurélien Paret-Peintre,Climber,X12,4,Mount
Aurélien Paret-Peintre,Climber,X14,2,Mount
Aurélien Paret-Peintre,Climber,X15,0,Hills
Aurélien Paret-Peintre,Climber,X16,0,Mount
Aurélien Paret-Peintre,Climber,X17,0,Flat
Aurélien Paret-Peintre,Climber,X18,0,Mount
Aurélien Paret-Peintre,Climber,X19,35,Mount
Aurélien Paret-Peintre,Climber,X20,0,Hills
Aurélien Paret-Peintre,Climber,X21,0,Flat
Bastien Tronchon,Unclassed,X1,0,Flat
Bastien Tronchon,Unclassed,X2,0,Hills
Bastien Tronchon,Unclassed,X3,40,Flat
Bastien Tronchon,Unclassed,X4,0,Hills
Bastien Tronchon,Unclassed,X6,1,Hills
Bastien Tronchon,Unclassed,X7,0,Hills
Bastien Tronchon,Unclassed,X8,30,Flat
Bastien Tronchon,Unclassed,X9,16,Flat
Bastien Tronchon,Unclassed,X10,2,Hills
Bastien Tronchon,Unclassed,X11,0,Hills
Bastien Tronchon,Unclassed,X12,0,Mount
Bastien Tronchon,Unclassed,X14,2,Mount
Bastien Tronchon,Unclassed,X15,0,Hills
Bastien Tronchon,Unclassed,X16,0,Mount
Bastien Tronchon,Unclassed,X17,0,Flat
Bastien Tronchon,Unclassed,X18,0,Mount
Bastien Tronchon,Unclassed,X19,0,Mount
