all_riders,rider_class,stage,points,stage_class
Jonathan Milan,Sprinter,X2,8,Hills
Jonathan Milan,Sprinter,X3,212,Flat
Jonathan Milan,Sprinter,X4,18,Hills
Jonathan Milan,Sprinter,X6,36,Hills
Jonathan Milan,Sprinter,X7,13,Hills
Jonathan Milan,Sprinter,X8,252,Flat
Jonathan Milan,Sprinter,X9,204,Flat
Jonathan Milan,Sprinter,X10,12,Hills
Jonathan Milan,Sprinter,X11,12,Hills
Jonathan Milan,Sprinter,X12,12,Mount
Jonathan Milan,Sprinter,X14,32,Mount
Jonathan Milan,Sprinter,X15,12,Hills
Jonathan Milan,Sprinter,X16,12,Mount
Jonathan Milan,Sprinter,X17,238,Flat
Jonathan Milan,Sprinter,X18,32,Mount
Jonathan Milan,Sprinter,X19,32,Mount
Jonathan Milan,Sprinter,X20,12,Hills
Jonathan Milan,Sprinter,X21,32,Flat
Mattias Skjelmose,Climber,X1,0,Flat
Mattias Skjelmose,Climber,X2,6,Hills
Mattias Skjelmose,Climber,X3,7,Flat
Mattias Skjelmose,Climber,X4,81,Hills
Mattias Skjelmose,Climber,X6,13,Hills
Mattias Skjelmose,Climber,X7,51,Hills
Mattias Skjelmose,Climber,X8,19,Flat
Mattias Skjelmose,Climber,X9,15,Flat
Mattias Skjelmose,Climber,X10,6,Hills
Mattias Skjelmose,Climber,X11,3,Hills
Mattias Skjelmose,Climber,X12,13,Mount
Mattias Skjelmose,Climber,X14,0,Mount
Mattias Skjelmose,Climber,X15,0,Hills
Mattias Skjelmose,Climber,X16,0,Mount
Mattias Skjelmose,Climber,X17,0,Flat
Mattias Skjelmose,Climber,X18,0,Mount
Mattias Skjelmose,Climber,X19,0,Mount
Mattias Skjelmose,Climber,X20,0,Hills
Mattias Skjelmose,Climber,X21,0,Flat
Florian Lipowitz,All Rounder,X1,0,Flat
Florian Lipowitz,All Rounder,X2,0,Hills
Florian Lipowitz,All Rounder,X3,0,Flat
Florian Lipowitz,All Rounder,X4,1,Hills
Florian Lipowitz,All Rounder,X6,37,Hills
Florian Lipowitz,All Rounder,X7,43,Hills
Florian Lipowitz,All Rounder,X8,13,Flat
Florian Lipowitz,All Rounder,X9,13,Flat
Florian Lipowitz,All Rounder,X10,63,Hills
Florian Lipowitz,All Rounder,X11,13,Hills
Florian Lipowitz,All Rounder,X12,198,Mount
Florian Lipowitz,All Rounder,X14,153,Mount
Florian Lipowitz,All Rounder,X15,25,Hills
Florian Lipowitz,All Rounder,X16,84,Mount
Florian Lipowitz,All Rounder,X17,28,Flat
Florian Lipowitz,All Rounder,X18,74,Mount
Florian Lipowitz,All Rounder,X19,179,Mount
Florian Lipowitz,All Rounder,X20,24,Hills
Florian Lipowitz,All Rounder,X21,24,Flat
Matteo Jorgenson,All Rounder,X1,93,Flat
Matteo Jorgenson,All Rounder,X2,36,Hills
Matteo Jorgenson,All Rounder,X3,22,Flat
Matteo Jorgenson,All Rounder,X4,110,Hills
Matteo Jorgenson,All Rounder,X6,73,Hills
Matteo Jorgenson,All Rounder,X7,147,Hills
Matteo Jorgenson,All Rounder,X8,27,Flat
Matteo Jorgenson,All Rounder,X9,24,Flat
Matteo Jorgenson,All Rounder,X10,72,Hills
Matteo Jorgenson,All Rounder,X11,24,Hills
Matteo Jorgenson,All Rounder,X12,52,Mount
Matteo Jorgenson,All Rounder,X14,14,Mount
Matteo Jorgenson,All Rounder,X15,22,Hills
Matteo Jorgenson,All Rounder,X16,13,Mount
Matteo Jorgenson,All Rounder,X17,13,Flat
Matteo Jorgenson,All Rounder,X18,78,Mount
Matteo Jorgenson,All Rounder,X19,17,Mount
Matteo Jorgenson,All Rounder,X20,106,Hills
Matteo Jorgenson,All Rounder,X21,146,Flat
Wout Van Aert,Unclassed,X1,0,Flat
Wout Van Aert,Unclassed,X2,8,Hills
Wout Van Aert,Unclassed,X3,6,Flat
Wout Van Aert,Unclassed,X4,62,Hills
Wout Van Aert,Unclassed,X6,8,Hills
Wout Van Aert,Unclassed,X7,12,Hills
Wout Van Aert,Unclassed,X8,188,Flat
Wout Van Aert,Unclassed,X9,8,Flat
Wout Van Aert,Unclassed,X10,16,Hills
Wout Van Aert,Unclassed,X11,130,Hills
Wout Van Aert,Unclassed,X12,16,Mount
Wout Van Aert,Unclassed,X14,14,Mount
Wout Van Aert,Unclassed,X15,156,Hills
Wout Van Aert,Unclassed,X16,12,Mount
